                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5646,                 1.2789,                 1.2432,                0.43893,                0.34548,                0.34409,                0.19649,                 1.4634,                 1.1698,                  1.203,               0.008911,               0.008911,               0.008911
                     36,                 1.5645,                 1.2771,                  1.242,                0.43346,                0.34427,                0.33895,                0.19548,                  1.457,                 1.1689,                 1.2019,               0.008878,               0.008878,               0.008878
                     37,                 1.5546,                 1.2615,                 1.2358,                0.44068,                0.34269,                0.34216,                0.19689,                 1.4515,                 1.1657,                 1.1968,               0.008845,               0.008845,               0.008845
                     38,                  1.556,                 1.2675,                 1.2386,                0.44127,                0.34999,                0.34589,                0.20028,                 1.4563,                 1.1586,                 1.1987,               0.008812,               0.008812,               0.008812
                     39,                 1.5529,                 1.2606,                  1.235,                0.44605,                0.34737,                0.34809,                0.20001,                 1.4537,                 1.1643,                  1.196,               0.008779,               0.008779,               0.008779
                     40,                 1.5466,                 1.2548,                 1.2352,                0.45416,                0.34518,                0.34999,                0.20236,                 1.4488,                 1.1476,                 1.1961,               0.008746,               0.008746,               0.008746
                     41,                 1.5523,                 1.2523,                 1.2329,                0.44929,                0.35134,                0.34988,                0.20091,                 1.4431,                 1.1486,                 1.1906,               0.008713,               0.008713,               0.008713
                     42,                 1.5439,                 1.2494,                 1.2353,                0.46121,                0.34943,                0.35569,                0.20662,                  1.438,                 1.1493,                 1.1896,                0.00868,                0.00868,                0.00868
                     43,                 1.5356,                 1.2389,                 1.2296,                0.44187,                0.36018,                0.35677,                0.20749,                 1.4342,                 1.1421,                 1.1881,               0.008647,               0.008647,               0.008647
                     44,                 1.5333,                 1.2355,                 1.2256,                0.46437,                0.35041,                0.35819,                0.20721,                 1.4367,                 1.1398,                 1.1879,               0.008614,               0.008614,               0.008614
                     45,                 1.5326,                 1.2392,                 1.2253,                0.46459,                0.35699,                0.36211,                0.20792,                 1.4349,                 1.1343,                 1.1879,               0.008581,               0.008581,               0.008581
                     46,                 1.5235,                 1.2215,                 1.2208,                0.47232,                 0.3528,                0.36106,                0.20947,                 1.4275,                 1.1281,                 1.1819,               0.008548,               0.008548,               0.008548
                     47,                 1.5318,                   1.23,                 1.2219,                 0.4629,                0.35765,                0.36152,                0.20988,                  1.428,                 1.1312,                  1.184,               0.008515,               0.008515,               0.008515
                     48,                 1.5241,                 1.2163,                 1.2207,                0.45861,                0.36476,                 0.3658,                0.21284,                 1.4244,                 1.1193,                 1.1819,               0.008482,               0.008482,               0.008482
                     49,                 1.5232,                 1.2143,                 1.2148,                 0.4704,                0.35948,                0.36586,                0.21149,                 1.4269,                 1.1244,                 1.1815,               0.008449,               0.008449,               0.008449
                     50,                  1.521,                 1.2147,                  1.217,                0.47398,                0.36283,                0.36923,                0.21424,                 1.4203,                 1.1153,                 1.1795,               0.008416,               0.008416,               0.008416
                     51,                 1.5133,                 1.2083,                 1.2163,                0.47372,                0.36282,                0.36983,                 0.2145,                 1.4191,                 1.1153,                 1.1774,               0.008383,               0.008383,               0.008383
                     52,                 1.5152,                 1.2086,                 1.2142,                0.46389,                0.36967,                0.37112,                0.21664,                 1.4243,                 1.1147,                 1.1776,                0.00835,                0.00835,                0.00835
                     53,                 1.5221,                 1.2203,                 1.2147,                0.45864,                0.37131,                0.37007,                0.21669,                 1.4255,                 1.1205,                 1.1757,               0.008317,               0.008317,               0.008317
